name,address,coordinates,opening_time,closing_time,service_time
Mercadinho Ponto Frio,"Rua Celerina Paiva, 207","-7.1068019,-34.8648225",08:00:00,19:30:00,15
Mercadinho Lima,"Rua Coronel Barata, Treze de maio, 49","-7.1132627,-34.8676339",06:00:00,20:00:00,15
Mercadinho Real Preço,"Rua João Moreira Dauto, Cidade Padre Zé","-7.1059451,-34.8729508",07:00:00,19:00:00,15
Mercadinho Jardim Mangueira,Rua Alfredo José Athaíde,"-7.1001228,-34.8727936",06:00:00,19:00:00,15
Mercadinho Alto do Céu,Rua Índio Felipe Camarão,"-7.0988438,-34.8650511",06:00:00,19:30:00,15
Mercadinho Novais ,"Avenida Presidente Félix Antônio, 775","-7.1480175,-34.8893583",06:00:00,19:00:00,15
Mercadinho Clarice,"Rua Elias Cavalcante de Albuquerque, 1007","-7.1603916,-34.8812873",06:00:00,22:00:00,15
Padaria Pontes,"Avenida Cruz das Aramas, 1214","-7.1438754,-34.893117",06:00:00,20:00:00,15
Mercadinho Raminho,"Avenida Engenheiro Retumba, 130","-7.146931,-34.8936707",06:00:00,18:00:00,15
Mercadinho Bom Jesus,"Avenida Quatro de Outubro, 602","-7.1455843,-34.8872346",07:00:00,19:00:00,15
